       日期         趋势    江西-南昌   江西-宜春    江西-九江   江西-德安
　　2021.7.8   |   上涨   |   3.96   |   3.88   |   3.88   |   3.88
　　2021.7.7   |   上涨   |   3.85   |   3.81   |   3.81   |   3.81
　　2021.7.6   |   稳定   |   3.85   |   3.77   |   3.77   |   3.77
　　2021.7.2   |   稳定   |   3.92   |   3.83   |   3.83   |   3.83
　　2021.7.1   |   稳定   |   3.92   |   3.83   |   3.83   |   3.83
　　2021.6.29   |   上涨   |   3.88   |   3.79   |   3.79   |   3.79
　　2021.6.28   |   稳定   |   3.83   |   3.75   |   3.75   |   3.75
　　2021.6.25   |   稳定   |   3.83   |   3.75   |   3.75   |   3.75
　　2021.6.24   |   稳定   |   3.83   |   3.75   |   3.75   |   3.75
　　2021.6.23   |   稳定   |   3.83   |   3.75   |   3.75   |   3.75
　　2021.6.22   |   下降   |   3.83   |   3.75   |   3.75   |   3.75
　　2021.6.21   |   下降   |   3.88   |   3.79   |   3.79   |   3.79
　　2021.6.18   |   稳定   |   3.90   |   3.83   |   3.83   |   3.83
　　2021.6.17   |   下降   |   3.90   |   3.83   |   3.83   |   3.83
　　2021.6.16   |   稳定   |   3.96   |   3.88   |   3.88   |   3.88
　　2021.6.15   |   下降   |   3.96   |   3.88   |   3.88   |   3.88
　　2021.6.7   |   下降   |   4.04   |   3.96   |   3.96   |   3.96
　　2021.6.2   |   稳定   |   4.13   |   4.04   |   4.04   |   4.04
　　2021.6.1   |   上涨   |   4.13   |   4.04   |   4.04   |   4.04
　　2021.5.31   |   稳定   |   4.04   |   3.96   |   3.96   |   3.96
　　2021.5.27   |   稳定   |   4.04   |   3.96   |   3.96   |   3.96
　　2021.5.26   |   稳定   |   4.04   |   3.96   |   3.96   |   3.96
　　2021.5.25   |   稳定   |   4.04   |   3.96   |   3.96   |   3.96
　　2021.5.24   |   上涨   |   4.04   |   3.96   |   3.96   |   3.96
　　2021.5.21   |   下降   |   3.96   |   3.88   |   3.88   |   3.88
　　2021.5.20   |    无    |   4.04   |   3.96   |   3.96   |   3.96
　　2021.5.19   |   稳定   |   4.13   |   4.04   |   4.04   |   4.04
　　2021.5.18   |   稳定   |   4.134   |   4.044   |   4.044   |   4.044
　　2021.5.17   |   上涨   |   4.13   |   4.04   |   4.04   |   4.04
　　2021.5.14   |   下降   |   4.06   |   3.98   |   3.98   |   3.98
　　2021.5.13   |   下降   |   4.17   |   4.08   |   4.08   |   4.08
　　2021.5.12   |   稳定   |   4.21   |   4.13   |   4.13   |   4.13
　　2021.5.11   |   稳定   |   4.212   |   4.132   |   4.132   |   4.132
　　2021.5.10   |   稳定   |   4.21   |   4.13   |   4.13   |   4.13
　　2021.5.8   |   稳定   |   4.21   |   4.13   |   4.13   |   4.13
　　2021.5.7   |   稳定   |   4.21   |   4.13   |   4.13   |   4.13
　　2021.5.6   |   稳定   |   4.21   |   4.13   |   4.13   |   4.13
　　2021.4.30   |   下降   |   4.04   |   3.96   |   3.96   |   3.96
　　2021.4.29   |   下降   |   4.04   |   4.06   |   4.06   |   4.06
　　2021.4.27   |   下降   |   4.10   |   4.02   |   4.02   |   4.02
　　2021.4.27   |   稳定   |   4.10   |   4.02   |   4.02   |   4.02
　　2021.4.26   |   稳定   |   4.10   |   4.02   |   4.02   |   4.02
　　2021.4.25   |   上涨   |   4.10   |   4.02   |   4.02   |   4.02
　　2021.4.23   |   上涨   |   4.10   |   4.02   |   4.02   |   4.02
　　2021.4.22   |   上涨   |   4.04   |   3.96   |   3.96   |   3.96
　　2021.4.21   |   稳定   |   3.92   |   3.83   |   3.83   |   3.83
　　2021.4.20   |   稳定   |   3.88   |   3.79   |   3.79   |   3.79
　　2021.4.19   |   上涨   |   3.88   |   3.79   |   3.79   |   3.79
　　2021.4.16   |   稳定   |   3.73   |   3.65   |   3.65   |   3.65
　　2021.4.15   |   稳定   |   3.73   |   3.65   |   3.65   |   3.65
　　2021.4.13   |   稳定   |   3.73   |   3.65   |   3.65   |   3.65
　　2021.4.12   |   稳定   |   3.67   |   3.58   |   3.58   |   3.58
　　2021.4.9   |   稳定   |   3.67   |   3.58   |   3.58   |   3.58
　　2021.4.8   |   稳定   |   3.67   |   3.58   |   3.58   |   3.58
　　2021.4.7   |   稳定   |   3.67   |   3.58   |   3.58   |   3.58
　　2021.4.6   |   稳定   |   3.67   |   3.58   |   3.58   |   3.58
　　2021.4.2   |   稳定   |   3.67   |   3.58   |   3.58   |   3.58
　　2021.4.1   |   稳定   |   3.67   |   3.58   |   3.58   |   3.58
　　2021.3.30   |   稳定   |   3.67   |   3.58   |   3.58   |   3.58
　　2021.3.29   |   下降   |   3.67   |   3.58   |   3.58   |   3.58
　　2021.3.26   |   稳定   |   3.77   |   3.69   |   3.69   |   3.69
　　2021.3.25   |   上涨   |   3.77   |   3.69   |   3.69   |   3.69
　　2021.3.24   |   上涨   |   3.73   |   3.65   |   3.65   |   3.65
　　2021.3.23   |   上涨   |   3.638   |   3.67   |   3.58   |   3.58
　　2021.3.22   |   稳定   |   3.63   |   3.54   |   3.54   |   3.54
　　2021.3.19   |   稳定   |   3.63   |   3.54   |   3.54   |   3.54
　　2021.3.18   |   稳定   |   3.63   |   3.54   |   3.54   |   3.54
